episode,steps,total_steps,return,status,on_pad,fuel,epsilon,loss_mean,q_mean,return_avg100,pad_rate100,seconds
239,740,109493,151.63,landed_on_pad,1,125.46,0.05,0.202,13.802,-45.61,0.1,36.1
240,734,110227,165.31,landed_on_pad,1,122.88,0.05,0.1863,15.102,-44.25,0.11,36.4
241,760,110987,164.75,landed_on_pad,1,131.19,0.05,0.2112,13.746,-43.81,0.12,36.6
242,860,111847,143.45,landed_on_pad,1,149.31,0.05,0.202,11.618,-44.74,0.12,36.9
243,1000,112847,-35.16,timeout,0,175.74,0.05,0.1966,7.889,-47.29,0.11,37.2
244,1000,113847,23.13,timeout,0,172.11,0.05,0.1518,9.76,-46.06,0.11,37.5
245,1000,114847,-12.58,timeout,0,178.89,0.05,0.1701,7.571,-48.53,0.1,37.8
246,854,115701,141.95,landed_on_pad,1,146.34,0.05,0.1471,11.606,-46.49,0.11,38.1
247,836,116537,137.82,landed_on_pad,1,145.83,0.05,0.1712,11.381,-41.88,0.12,38.4
248,638,117175,163.96,landed_on_pad,1,108.33,0.05,0.1704,15.9,-39.57,0.13,38.6
249,1000,118175,-25.42,timeout,0,177.24,0.05,0.2159,8.049,-39.39,0.13,38.9
250,1000,119175,-42.86,timeout,0,177.66,0.05,0.1528,7.832,-38.79,0.13,39.2
251,1000,120175,-16.79,timeout,0,176.16,0.05,0.2089,11.11,-37.76,0.13,40.2
252,858,121033,121.52,landed_on_pad,1,147.06,0.05,0.1309,11.241,-35.78,0.14,40.4
253,1000,122033,-39.83,timeout,0,176.49,0.05,0.1209,5.543,-35.66,0.14,40.8
254,1000,123033,-44.52,timeout,0,175.77,0.05,0.1358,7.596,-38.58,0.13,41.1
255,1000,124033,-54.3,timeout,0,173.79,0.05,0.1099,6.467,-40.96,0.12,41.4
256,1000,125033,-38.73,timeout,0,177.36,0.05,0.1264,11.182,-40.59,0.12,41.7
257,1000,126033,-30.38,timeout,0,177.48,0.05,0.0974,9.055,-40.54,0.12,42.0
258,1000,127033,-48.04,timeout,0,177.93,0.05,0.0989,6.241,-40.72,0.12,42.3
259,1000,128033,-38.63,timeout,0,178.11,0.05,0.0747,6.5,-40.04,0.12,42.6
260,915,128948,-224.53,out_of_bounds,0,158.94,0.05,0.0644,8.911,-42.83,0.12,42.9
261,1000,129948,-56.44,timeout,0,175.59,0.05,0.082,8.394,-44.19,0.12,43.2
262,1000,130948,-106.08,timeout,0,171.84,0.05,0.0729,11.951,-44.79,0.12,43.5
263,865,131813,34.96,landed_off_pad,0,145.77,0.05,0.0871,12.219,-43.62,0.12,43.8
264,1000,132813,-47.88,timeout,0,170.07,0.05,0.0975,9.585,-43.49,0.12,44.1
265,1000,133813,-37.44,timeout,0,176.52,0.05,0.1039,4.608,-42.53,0.12,44.4
266,1000,134813,-39.86,timeout,0,172.98,0.05,0.0837,6.903,-42.03,0.12,44.8
267,946,135759,35.5,landed_off_pad,0,153.78,0.05,0.0782,11.37,-40.46,0.12,45.1
268,408,136167,-140.17,out_of_bounds,0,70.65,0.05,0.0718,12.583,-41.23,0.12,45.2
269,1000,137167,-102.85,timeout,0,170.34,0.05,0.1049,4.559,-41.2,0.12,45.5
270,1000,138167,-102.65,timeout,0,169.02,0.05,0.0885,6.79,-41.15,0.12,45.8
271,1000,139167,-51.82,timeout,0,169.38,0.05,0.0799,7.088,-40.56,0.12,46.1
272,1000,140167,-67.36,timeout,0,174.93,0.05,0.0627,5.426,-40.26,0.12,46.5
273,205,140372,-200.4,out_of_bounds,0,35.97,0.05,0.1087,43.609,-41.2,0.12,46.5
274,1000,141372,-22.23,timeout,0,172.05,0.05,0.0604,8.415,-40.27,0.12,46.8
275,1000,142372,-51.8,timeout,0,172.41,0.05,0.0871,7.959,-40.49,0.12,47.2
276,967,143339,-8.0,landed_off_pad,0,160.5,0.05,0.0726,9.938,-39.62,0.12,47.5
277,1000,144339,-13.6,timeout,0,166.59,0.05,0.0798,10.154,-38.41,0.12,47.8
